Genes	log2FoldChange
AMY1A	-3.061623277
LRRTM1	-2.687669391
LOC154761	2.297014953
COL22A1	2.98391136
CLVS2	-3.394809561
TP73	3.04755062
ATP4A	-4.06959317
CXCL13	4.399640724
C1orf88	2.55466249
C9orf125	-2.913037889
LOC286467	2.211153519
F2RL1	2.576629806
GPR37	-2.209501517
DMBT1	-2.677492464
SEZ6L2	-2.309591351
RUNX1T1	-2.498548534
IRX1	4.539161676
RPS2P32	2.01370931
ADM2	3.160456177
TUBB4	-3.042272468
SOHLH1	-4.313801758
RIBC1	2.716299407
HTR4	-3.478227105
EN2	2.718395939
EPCAM	-3.184903546
KLB	-2.045514266
FCER2	-4.401348166
GABRG1	-3.752159875
HCG11	-2.141781484
ANKRD22	2.459470276
GALNT9	-3.487903991
COL4A6	2.996564216
SLC16A8	-2.343063617
CHST9	2.792227733
COL5A1	3.079657349
KRT77	-4.283518752
PPP1R9A	-2.059954772
ODF3B	2.592704604
HLA-DOB	2.277704822
C17orf102	-2.870710452
CAPN13	-4.168861308
VGLL2	4.164307494
IL1RAPL1	-3.050218486
CORO2A	-2.201640845
UPP2	-2.594476248
KIAA1409	-2.411386748
DUSP26	-2.540598879
SRGN	2.135243688
KIAA1324L	-2.090624522
SLC22A9	-4.80112091
DMBX1	3.781813667
HCN2	-2.367417064
BCL11B	-2.568389014
SLC26A4	-2.237776068
LOXL1	2.673089602
HCP5	2.33678764
SLC5A8	-4.028108378
NAMPT	2.482373053
ACTG2	2.69409031
OAS1	2.645200837
FA2H	-3.28932513
SLC27A2	-3.662799179
C6orf227	-3.260980976
S100A8	3.045033151
GUCA1C	-4.52556466
C11orf9	-3.062844706
TMEM215	-3.898640515
GLI2	2.159158356
FMN1	-2.633366303
SMAGP	2.271414971
PPP1R1C	2.637930898
TBX5	4.82502768
ZIC4	2.032359208
LOC283392	-4.19099521
MCF2	-3.421918488
LOC284100	-4.164937249
GPR52	-4.634388481
SLC9A5	-2.000978484
ASPA	-2.629091297
CYP2E1	-2.501338551
KCND3	-2.268709211
LOC642597	-3.162268459
GLRA4	-2.995273231
HMGA2	3.711999865
C21orf128	-3.425220686
HTRA3	2.222447404
PTGS1	2.040683021
GPX3	2.633091437
PCDH7	-2.695203705
KLK7	-4.728293763
DNAJC5G	-3.954203769
FRMPD2	-3.47202682
C2CD4D	-2.429101373
APOBEC3D	2.029552974
ARSJ	2.475437344
IL32	2.151132833
TRPV3	-2.199302164
RXFP3	-3.881178346
STAC	3.21680707
FAM26F	2.304632155
AQP1	2.660488091
HMGCLL1	-3.274450394
GABBR2	-2.993692907
GPR6	-4.693118434
INMT	3.041930266
LINGO2	-3.858954829
MSTN	3.331779826
PDYN	-3.732954576
SP6	2.077236443
BFSP1	-2.336221249
CTSK	2.44377116
AGBL2	2.864841584
NR4A2	-2.211307221
BATF	2.320418266
FAM65C	2.457328299
GPR26	-4.221782777
HLA-DRB1	2.171042277
YJEFN3	-2.271850134
CCL14	3.564516687
AKNAD1	2.849258673
RPRML	-2.880399369
RYR1	-2.087596721
MTTP	2.914145252
CR2	-3.581510381
MUM1L1	-3.173378255
KCNK9	-3.393927174
LDHAL6A	-2.818476135
IL10	2.864729495
TRIML2	-3.731299309
SCN5A	-3.074311704
TBC1D26	-2.881562814
HIST1H2AG	2.854898857
C1S	2.303327796
KCTD8	-2.494115471
SBF1P1	-2.305096233
SH3RF2	-3.186697713
SLAMF6	2.63032171
LOC100130386	-3.175641247
C8orf4	2.186700267
TNFAIP6	2.343092931
FCN3	3.220082102
FAM86B2	2.440075159
LBP	4.78968824
GALNT14	-2.521815877
LEMD1	3.723726501
HTR1A	-4.695879938
PLCXD2	-2.511577354
LOC388428	-3.09326372
PCDH20	-2.848767442
CCDC144B	-2.708322135
GPR128	4.777291751
DNAJB7	-2.212020633
WDR78	2.005146128
C3orf45	-2.155979291
MIAT	-2.66357613
LIMS3	3.812359902
HS3ST5	-2.73104413
HLA-DQB1	2.530958794
SMCR5	-2.486759429
PROKR2	-4.771911879
C17orf88	-3.164575573
L1CAM	-3.260954844
CALCRL	2.130001757
MYO15A	-2.560321009
NPY1R	-3.010500306
ELAVL2	-3.156739825
TAGLN	2.24093738
FOXD4L6	-2.599661478
FAM75C1	-3.384243068
KRTAP5-7	-2.421297373
CELF3	-3.076152163
AIFM3	-3.223609083
PRCD	-2.446456633
CELF6	-2.013446912
IRS4	-3.705563022
HTR6	-3.63369059
RARRES3	2.195638661
PCBP3	-2.252809706
F13A1	3.506825881
RAET1K	2.781731454
DOC2B	-3.622523319
IGFBP1	2.42975533
AQP7	-3.545905724
KCNIP3	-2.102769799
DKFZP434H168	-2.578671512
CACNA2D1	-3.090912324
INA	-3.40449529
PLIN4	-2.501461657
B3GALT2	-2.347933605
C1orf106	2.008133515
TEKT1	3.997196454
ST18	-3.002128003
TRPM8	2.939449135
PNLDC1	-3.501121367
LY6H	-3.012973756
FUT9	-2.621353405
CDHR2	-2.872325054
CST7	2.24223616
ELFN2	-3.208677765
P2RX2	-3.567040829
SPOCK3	-3.077019678
COL6A1	2.287149917
CCL5	2.242097771
CHRM3	-2.724532124
GGNBP1	-3.410749859
LOC100132832	-2.14066437
SLITRK4	-3.33698373
C11orf70	3.002957518
ARL5C	-2.434242597
NELL1	-3.705563056
OPCML	-2.853706328
C13orf16	-2.39806261
PMFBP1	2.119049334
CREB3L3	-3.883308863
CADPS	-2.364348698
SYT16	-2.844179847
C6orf127	-4.637378006
SPAG4	2.426808571
HOXB8	4.685132769
BSPRY	-2.525281139
HHATL	-2.894008715
C11orf90	-2.950392663
KDELR3	2.489367293
AMZ1	-2.238723211
OPRD1	-3.603789858
SLA2	2.187258034
DCLK3	-2.65631218
AIM2	2.967337579
PIPOX	2.130205843
ANK1	-2.385369407
SLC5A11	-3.432517499
DGCR10	-2.561233781
PCP4L1	-3.033188074
40978	-3.930783836
FREM2	2.350756691
CCDC144A	-2.287351738
RDH5	2.015988584
KIF19	-2.878676207
TCHH	-2.302963106
LRRC15	3.498170182
DOK2	2.294121397
FBXL2	-2.424365169
FXYD7	-3.094945113
ST6GALNAC5	-2.966151649
PCDHGA11	-2.215528758
AVIL	2.44369484
CLIC5	-2.187748473
TP53TG5	-4.706279768
OMG	-2.122974004
LOC100130933	-2.969588957
DKFZP434L187	3.228198086
SCUBE2	2.509588556
WDR63	3.624932418
CBLN2	-3.497100258
HCRTR2	-4.008867754
CHRM5	-2.401469622
PFN4	2.076612334
OR14I1	-4.561000943
CYP2B7P1	-2.061841056
PRRG3	-3.565014932
MMP7	3.758595266
FBN2	3.325637884
ADAM8	2.405773484
RAB27B	-2.788305131
CDH18	-3.700793603
SPRY4	2.066364992
SLC38A8	-3.753338133
C9orf122	-3.112607608
ZNF474	2.881949583
KIAA1751	-2.83867244
ADAMTS16	-2.870852366
CIDEA	-4.274971802
SPON2	2.366096258
PLP1	-2.711448916
SLC5A7	-4.102489042
PAPL	-3.678896
ASCL1	2.269823019
KEL	-2.431116191
KCTD14	2.160145167
RASGRP1	-2.001355424
KCNH8	-2.941460457
CNPY1	3.280073969
GSTO2	-2.172873996
ZC3H12B	-2.831211714
CDK18	-2.05462496
NKG7	2.161483402
SIX6	4.596358342
ALDH8A1	-2.036743102
HIST1H3B	4.573811614
HMP19	-3.255917261
HPYR1	-3.087077063
TNIP3	-3.439449736
CD3D	3.052604327
ESM1	2.620342223
BDNF	-2.893572722
SLC6A20	-3.417343524
CDK6	2.07023583
DHDH	-2.49280372
ELMOD1	-2.151337215
PHACTR3	-2.538043575
GPC2	2.434195122
SMN1	2.007991476
SPP1	2.333531964
C6orf105	-2.812208457
CHRNA4	-3.13594435
FCER1A	3.275252363
SIDT1	-2.270455426
PTH2R	-3.009176465
C21orf131	-2.83175383
CLDN23	2.353322553
CLSTN2	-2.350909422
COL14A1	2.966646043
PSPH	2.252662787
FAM177B	2.649585335
C3orf16	3.553872599
HIST1H3G	4.538769091
LPO	-2.243241812
FABP7	2.32948416
CEACAM4	3.16701401
DSG1	-3.172167863
LOC285548	4.531787932
TDRD6	-2.106780729
KRT31	-4.485487745
CCL25	3.531757729
FAM176A	3.063197555
MAGEC3	-2.943413831
NCRNA00164	-3.968944145
TYRP1	-3.48658463
PRF1	2.428721211
GJD2	-3.429290768
PRB2	-3.503196283
SSTR4	-4.181720975
SDC1	2.321914728
IFNA21	-3.422806087
EMILIN1	2.042934153
NPY	-3.145596238
ERBB4	-2.19707231
RASEF	3.649866392
TLE6	2.161961706
LOC441601	-4.354383558
ELAVL3	-2.0776738
FOLH1	-2.234706954
SDR16C5	-3.764221172
CD36	2.591527131
GFRA2	-2.50221775
STEAP2	-2.315135525
LOC440040	-3.994536735
SHISA9	-2.46904184
SLC26A7	2.700058314
NPBWR1	-4.945516191
LOC283731	-3.467957899
BAIAP3	-2.247882863
TUBB4Q	-3.244811465
PTCRA	2.493360634
DPP4	2.848283736
PKLR	-2.817867349
FPR1	2.150392887
MRAP2	-2.459532516
PCDHGA6	-2.275775276
PLK5P	-2.529268646
MAG	-3.221216352
TLL2	-2.551657556
ZMYND10	2.752308219
PLLP	-2.153233048
FFAR1	-3.799988
ATP2C2	-2.504716518
EMILIN3	2.713285948
LPAR3	-3.395668019
HIST1H2BO	3.212022056
CLEC4G	-3.595011725
HS3ST3B1	2.748995715
POU3F1	-2.456106074
GRAPL	2.974129784
LOC730811	-4.3193193
PGR	-2.444315291
GPR101	-3.792267413
TF	-2.557448454
SMPD3	-2.248644191
LOC150622	-2.469904339
HSPA7	2.188927528
SNAI2	2.037401079
PPAP2C	-2.302654176
SLPI	3.218271615
JPH1	-2.467943105
HIST1H1C	2.098476951
MUC5B	-2.281142242
BATF2	2.020777784
HIST1H1B	3.373968472
CLEC18A	2.034486199
TMEM100	2.256430471
TMC5	-2.616486239
GIPR	-2.790336549
SLC2A14	-2.001742657
KHDRBS2	-3.381141356
LILRA5	2.853767851
CNTN3	-3.377146641
CACNA1H	-2.003609559
KCNH4	-2.50859012
CPNE5	-2.090426667
ACP5	2.29858269
TMEM179	-2.582654539
HAPLN2	-2.817261504
MMP8	4.427194812
PLIN1	-2.242852372
MMP17	-2.39517254
DLL3	2.814673717
FLRT1	-2.170200587
UBQLNL	2.257041905
SYT2	-2.56583124
OR6B2	-3.684039529
HOXD1	-2.860823798
CACNG2	-3.592759271
ADAMTS15	2.527066786
NGB	-3.379687413
CCDC140	4.404561747
SLFN13	2.392165931
IL13RA2	2.705946906
OAS3	2.018887957
TMEM171	-2.639859793
C2orf48	2.890512267
LOC283404	-2.881332438
CALB1	-3.068676699
CTSW	2.261289508
CA4	-2.282889081
CLECL1	2.364409518
SLC28A1	2.958604025
FAM180A	2.969639935
IL1RL2	-3.054562722
GPX2	-2.34824731
CER1	3.922154844
XIRP2	3.108355296
LGI1	-2.080073407
CD80	2.31211294
BCL2A1	2.288503393
LOC401463	-3.68437338
GZMK	2.934035353
SLC22A6	-3.4147143
IL17B	3.484443274
VSTM2B	-3.117412597
LOC284798	-3.429602018
LOC100132111	-2.635234993
MC4R	-3.281611392
LOC100128675	-3.309720021
C1QL2	-3.064461792
PRDM13	4.252716911
OPRK1	-3.437878092
C2CD4B	-2.128297922
SNORD115-13	-4.834961806
CDHR1	-2.172831678
LBX1	4.344429207
TDRD5	-3.120586641
SCIN	2.087722156
NAPSB	2.17493527
KRT33B	-4.918884838
AIM1	2.345940657
GJB5	-2.053816
LOC100130776	2.498934206
OLFML1	2.182929855
BHLHE22	-3.361143749
S100A12	3.144690165
LOC255167	-2.595652641
MAK	2.537451382
RDM1	2.320649249
C7orf68	2.002192782
SORCS1	-2.608762958
GZMH	2.600749374
TDRD9	-2.353904008
STEAP1	2.448022647
C19orf30	-3.225825924
ODZ2	-2.981165859
METTL1	2.310484897
TTC9B	-2.853199374
PCDH11Y	-3.695903816
RNASE10	4.287026031
CBLN4	-2.970314399
LOC100130238	-3.262420043
COL6A6	-2.537519416
CATSPER1	2.973890722
DLK2	-2.419043061
EFCAB5	-2.012510014
FAM153C	-4.436753992
CCR2	2.623863971
SLITRK1	-2.921629128
TKTL1	3.001548041
MMP1	3.418038365
OR13J1	-2.211709853
RBP7	-2.022671118
PDE4C	-2.482411553
WISP1	2.86390212
PLAC1	2.843474858
SOD2	2.054444386
TNFSF9	-2.050297543
LOC257358	2.154751065
CNTNAP5	-3.043904624
GBAS	2.146698846
PYDC1	-3.662948308
BCAN	2.003993685
CEACAM1	2.429017076
TNFRSF9	3.837151645
KIAA1543	-2.779051149
BARX1	3.381981132
LOC440905	-2.43701572
DEFA1B	3.733931154
LOC148696	-2.822340428
NLRP11	3.912219751
LGI4	-2.139804443
GABRA6	-3.86001226
MYH13	-4.315863586
GCOM1	2.105405658
PCSK6	-2.576137903
C20orf195	2.470850979
NIPAL1	-2.233824994
SFTPC	-2.587576827
SORCS3	-2.201366045
C1QL1	2.379843488
CACNA2D2	-2.446330752
KCNIP4	-2.316507014
CADM3	-2.424435415
CXCR6	2.499555469
KRT81	-2.795624352
GSX2	2.910071465
RSPO3	-3.19072154
CALB2	-3.101654573
PITX2	4.160576569
OBSCN	-2.093398508
FSHR	-3.828652803
C1orf172	-2.81053731
CLEC4F	2.863992172
ZDHHC8P1	-2.214286773
ZFR2	-2.855733063
APOC1P1	3.333970861
CILP	2.277354092
UNC5D	-2.812899188
CP	2.412792938
MYH14	-2.030557924
FLRT2	-2.100979405
LCNL1	-2.66185453
LOC340017	-4.65574331
HIST1H1D	2.947410382
ATP6V0D2	3.046004952
GJB6	-3.599633484
FCGR3B	2.445812679
GRIP2	-2.997068274
HRNR	-2.709801698
C19orf59	3.189285999
LOC389493	-3.410716907
RARRES1	2.474158565
PCSK2	-3.13268331
TSHR	3.273867223
KRT86	-2.192689809
C2orf85	-2.864670374
UNC5C	-2.544222476
LOC157627	-2.884507992
C9orf84	3.495143494
POU3F4	2.20361575
SERPIND1	-3.325295083
CHIT1	2.775854739
ZMAT4	-2.613143487
CAPN3	-2.185679641
TBX4	3.261694236
MYH15	-2.159933318
RNASE3	2.340390268
LCK	2.273705282
ACTA1	-2.39979369
SIGLEC14	2.000336355
LRRC18	3.628545162
HIST1H2AM	2.690308612
ODF3	-2.802602001
KIAA1377	-2.138445477
LOC154822	3.432368687
C3orf51	-3.017744541
CCL18	3.312898628
ADCYAP1	-2.460309098
MBP	-2.812310331
DNAH11	2.632773427
ZNF215	-2.054600645
WDR93	2.192550678
SLC1A6	-3.335768597
MOCOS	2.659696081
APOC4	2.788696496
C3orf50	2.003837194
SIX3	3.5610832
SYT9	-2.421165674
SLC25A41	-2.051662174
HCN4	-2.320917366
DKFZp434J0226	-3.073803026
EDN2	3.773447706
LOC441455	-2.029291714
RAB3C	-2.934147537
MSLNL	-3.330339087
C2orf66	2.146203355
CCDC81	2.006777951
HHLA2	-2.338530909
TREML2	2.521605554
C13orf26	2.492644942
KIAA2022	-2.368594045
UPK1B	-3.215589162
NPFFR1	-3.364031163
CLDN11	-2.368192815
KLK5	-4.077501137
RNF43	-2.447911399
CAMP	4.090041133
CXCR2P1	2.565065396
SLC17A6	-3.367598245
PLA2G5	2.451869314
ERAP2	2.281844136
NKX6-2	-2.859742845
CALHM3	-2.446428746
HIST1H2AL	3.522814125
FBXL21	-3.273962861
41243	4.06213446
MOS	-3.609238656
LOC100190940	-2.277135639
NXPH2	-2.593759192
FAM131C	-2.224958584
XKR4	-2.347704544
DKKL1	2.649374946
SFRP1	-2.563500192
CYP2A6	-2.778303553
B4GALNT3	-2.204120733
IL1RAPL2	-3.385165857
HLA-DRB5	2.242137969
MOBP	-2.938389347
LRRC67	2.251922438
CLEC4GP1	-3.465979358
RD3	-3.103866814
RSPO2	-2.665806278
STMN2	-2.835410647
EVPL	-2.809521123
GALR1	2.557031289
NDST3	-3.154559486
C17orf93	3.844893609
CDH13	-2.168664712
TFCP2L1	2.408776867
EMID2	-2.921289118
DNAJC5B	2.595768368
DPP10	-2.642080505
CHODL	2.893467765
C8orf85	-2.814810352
PHKG1	2.023947141
POM121L2	-2.991851363
CDKN2A	3.235833886
SLC4A9	-2.425655733
NCRNA00161	-3.42104529
CSMD3	-2.756977886
ATP1B4	-2.900161116
TRIM54	-2.544911533
AFF2	-2.808463601
ABRA	-2.574558092
FAP	2.380780002
ANKS4B	-3.149185812
LOC440896	-2.65719573
PLA2G4D	-2.665332426
CACNA1G	-2.048525464
GALNTL5	-3.541163573
HAL	2.884759311
HFE2	-2.473065704
MYOCD	-2.322840982
GABRA3	-2.659303473
SIGLEC1	2.183271543
NOS1	-3.121359474
PPL	-2.254620487
NXNL1	-2.435707463
NPNT	2.201541674
ZFP57	-2.816906005
LOC728276	-3.813109673
TMEM125	-2.783481598
GPR1	2.657182611
RGS8	-2.60422567
PBOV1	-3.274202522
RNF165	-2.136012263
ZCCHC16	-3.165983269
ART1	-2.789405934
GABRG3	-3.402647622
AMICA1	2.091668864
C8orf47	-2.311926872
OR2L13	-2.839489141
ELAVL4	-2.403334805
ADIG	2.771667131
SPATA21	-2.394828049
SCRT1	-2.603263142
POU4F1	3.231124105
PROM1	2.026614289
HTRA4	2.883811722
HAMP	2.235406038
CACNA1S	-3.086046743
HKDC1	2.019770295
CCDC64B	-2.175068467
PTF1A	-2.837196207
GPR12	-2.349648119
AGBL1	-2.742738682
SYNGR4	-2.147591202
AMH	2.160669158
FGF9	-2.407133164
SLIT2	-2.543610559
SLC16A10	2.012048174
ETV7	2.029792659
ACTL6B	-2.810591816
IGSF9	2.199448084
DPYS	-2.155356495
WIF1	-3.48272927
LY9	2.132450097
SMPX	-3.61781376
AQP7P1	2.84799486
TSPYL6	-2.091907599
41163	-2.83109717
FBLL1	-2.099809605
OR2T33	-3.682976634
CYP4Z1	-3.515635758
CD3E	2.009215234
LOC285045	-2.475455636
GGT8P	2.739252719
IGF2BP1	3.328211779
KCNJ13	-2.319166192
NKX6-3	-3.200011606
CDSN	2.235436064
TINAG	-3.151904313
INSM2	-2.68743566
XKR7	-3.180969346
AP1M2	-3.224718012
SOSTDC1	-2.610912241
TSPAN31	2.419649294
COL15A1	2.231305027
TCTEX1D1	2.513144757
CCDC19	2.59285098
FOXN4	2.588782063
OR2B6	3.32073241
TBX1	2.512493998
POPDC3	-2.269487611
BARX2	-2.439379545
SNORA67	2.407777143
FAM3D	2.424993013
KLK6	-2.609928538
FLJ40330	-2.964050945
KNG1	-3.336296962
SHISA7	-2.416489554
CASP5	2.080758717
SLC6A10P	-3.068417925
IQCJ	-4.091316854
TNNT2	-3.515081667
PCDHGA2	-2.047292193
RETN	3.568781818
PAK7	-2.762987202
LRRC8E	2.459156995
SGCD	-2.34609566
FRMPD2L1	-3.427509266
C11orf88	3.06222751
FAM46B	2.003116316
AGXT	3.794900454
MMEL1	2.320457806
HIST1H3F	3.785825943
BEND4	-2.956694277
CLCA4	-2.918170487
ANXA8L2	-3.378927752
FST	2.472092217
SIGLEC12	2.946467464
TLL1	-2.41533108
PHLDA2	2.081947025
UCMA	-3.539935178
DSCR6	2.978943384
CDH7	-3.113362504
GPR18	2.244235805
CHAD	-2.469472355
CNDP1	-2.598019822
F7	-2.492034528
CNGB3	-2.343851507
C2orf62	2.711633165
CHRNB3	-3.337953251
HYMAI	-2.205266671
RFPL1	-2.678069685
UCN2	2.239588143
KCNQ1DN	-2.291717237
CELA1	3.340372036
PAH	-2.19213351
BAGE2	-3.010595304
HIST1H3J	3.29275906
FLT3	-2.370783068
KRT75	2.847407077
ANXA3	-2.143294451
EMR3	3.261219728
GABRB1	-2.094889492
VTCN1	2.207494309
ODZ3	-2.541032812
CYMP	-3.391207319
WIT1	3.735075657
PGPEP1L	-2.793560957
CTRB2	-3.028739944
OR1F1	-2.441712117
SERPINA10	-3.617156655
DTHD1	2.836447929
PSORS1C1	2.075947599
RPH3A	-2.431323028
C16orf11	-2.798784853
FLJ45983	3.703408856
TMEM90A	-2.123168229
ISM2	-2.015303124
TAC4	2.961885696
RAG2	-2.915667988
CBLN1	-2.782746448
KRTAP4-1	-4.077919017
IFI44L	2.028482098
OR4N2	3.695100309
WNT7B	-2.285704705
GJB1	-2.331120052
DAB1	-2.310423656
VWA3B	2.019151273
CCL20	2.696007453
LOC285796	-2.172017261
WBSCR28	3.660713423
LRIT2	-2.0899279
ACMSD	3.663343499
HCRTR1	-2.340697889
CLEC10A	2.542540227
FOXA2	3.660300046
SFTPD	-2.116982885
SPRR2G	-3.696935602
FOXA3	2.755215744
ASPG	-3.115165236
LOC284688	3.643332917
ZNF385B	-2.484043654
LRRTM4	-2.051020332
TLX1NB	3.647484453
HIST1H3C	2.684015542
KRT1	-2.660594488
RAD51AP2	-2.799422627
HOXD12	3.636967174
TSLP	2.180168732
ZNF683	2.386542403
FXYD4	-3.249012003
DKK1	2.868359447
GFRA4	-3.384035569
GPR27	-2.087984642
GLB1L3	-2.080698207
FABP6	-2.495644936
NETO1	-2.531937596
PTPN20B	-2.424318824
C6orf123	2.654844411
LOC400696	2.70441897
CLEC4M	-2.285470779
SLC18A3	3.464006215
VAX1	-2.672888133
TEPP	-2.43186081
GAL3ST1	-2.026664764
HES2	2.147174139
LPPR3	-2.719762918
NPY5R	-2.71623845
NLRP2	-2.15518239
LOC285370	2.018134306
AGXT2L1	-2.311321454
TRIM74	2.129366508
MOG	-2.423835493
PDZK1IP1	2.26754093
TSNAX-DISC1	2.859345711
ABCC8	-2.123545044
SCGB1D2	2.758915135
FERMT1	2.111788757
CCNA1	-2.043513923
NPY6R	-2.467641387
SKINTL	2.323715715
EPO	2.245064495
FAM90A7	2.010348094
VSTM1	2.651309126
GLP1R	-2.55134639
SCARNA16	2.395893524
DNAJB13	2.322491916
DUSP2	-2.03669043
GTSF1	2.204022914
COL24A1	-2.178684158
IL18RAP	2.160830164
C8orf22	3.11310952
PKD1L2	-2.030188486
C10orf53	-2.74800854
GLRA2	-2.453292058
RPL23AP32	2.324649126
PPP1R1B	-2.085031783
LOC348840	-2.349469213
OR2M4	-3.440082243
LOC284233	-2.477590467
KCNH7	-2.217728161
FER1L6	-2.946313333
SRRM4	-2.749843977
TNFSF14	2.307962481
HHIP	-2.231240228
FAM9C	-2.311165427
LCN15	-3.626689511
ABCC12	-3.049859084
ZBP1	2.20168127
40976	2.317196248
PCDH11X	-2.607222768
LOC100127888	2.205433651
PABPN1L	-2.927437597
IGFL4	-2.028061061
CHRDL2	2.444096346
MCART3P	-2.634675203
LHFPL3	2.075593872
PRSS33	2.657641707
ZNF80	2.272791348
SIRPD	3.48885385
WT1	3.04858502
BTN1A1	2.837040184
PDE6A	2.018126177
SAGE1	3.486662833
MYL2	-3.706475655
FBN3	2.355531864
KLRB1	2.261089392
TNNT1	-2.437375985
AFP	2.914013657
RPSAP52	2.980586561
AGTR1	2.114217757
CCL28	-2.096116215
PSG10	-3.024855801
PCDHB17	2.124996915
GDF10	-2.344650592
DSC1	-2.405737185
F2	-3.006677725
MESP2	-2.078897319
CLEC4D	2.913402188
ATCAY	-2.157649188
HSPB3	-2.400420027
LCN8	-2.403311858
METTL11B	3.427751877
CYP2A7	-2.565362243
GSDMA	2.20629652
PDE6H	-2.015199041
OMP	2.515857353
CLPS	-3.313043781
PMCH	2.582507602
TNNI1	2.948660967
FAM92B	3.082285211
LOC646627	-2.989639026
OR2L2	-2.502092609
HNF4A	-3.320648951
HAR1B	-2.430301261
CDKN2BAS	2.671300302
HIST1H3I	3.377385124
C5orf46	3.192662581
TAS2R3	-2.111305719
C5orf38	3.218210164
GABRR1	2.656951671
COL6A3	2.188800246
RHCG	-2.066495463
CCDC144NL	-2.331753165
EVX1	3.363376448
MORN5	2.007669303
AQP7P3	3.362733521
NTSR1	-2.301082825
ITGB1BP3	-2.494860298
MATN4	2.24766223
RESP18	-3.119750349
USP43	-2.056271745
FBXW12	-2.167061197
BEST2	2.786101319
ADH7	3.344790987
FSHB	-3.512536549
OTOL1	-2.488659128
OR1F2P	-2.804558995
LMAN1L	-2.032083102
POU1F1	-2.171111655
AREG	2.371903059
SLC25A31	-2.04497151
CSRP3	3.321637937
APCDD1L	2.523960779
UGT8	-2.022947806
TMED7-TICAM2	2.206727942
STOML3	3.25472983
PATE2	-2.398965128
PAX7	-2.771368392
HGD	2.433679249
ZNF560	2.638051951
GREM1	-2.001773185
TMEFF2	-2.063510158
PKP1	-2.074654449
C21orf99	-3.226250548
TCAM1P	-2.250342579
KRT17	-2.204882487
DAPL1	2.356734611
PSG7	-3.515583575
NPTX2	-2.187487438
SRY	3.169068398
SLC13A5	-2.332441941
ENAM	-2.078601614
GFI1B	2.528221012
TEX19	2.230689768
RSPO1	-2.100763668
SLC25A2	2.692280289
ATP4B	3.229616031
LRRC10	2.889693557
ATXN8OS	-3.20068316
YSK4	2.575951071
CD209	2.12615323
GCM1	2.300146995
TAS2R1	-2.406031589
PPP1R1A	-2.096337248
TGM4	2.354648843
CDR1	-2.414854626
ANTXRL	-2.928324936
ABP1	2.132014711
NT5C1A	-2.35049806
DMRT1	2.504382178
DRGX	-3.169714182
SLC22A25	-2.282986337
ADH6	3.192602965
SNORA48	2.875943522
CARTPT	-2.952150128
SLC30A8	-2.246316143
RHOD	2.003471435
FAM75A6	-3.417391196
AKR1B15	3.179105813
MGC29506	2.452813759
COL19A1	-2.192071192
FNDC7	2.007428871
SLC7A10	-2.388981512
CLLU1OS	3.177132559
TAC3	-2.270543732
CEACAM3	2.828337164
GPRIN2	-2.393784897
TMEM8C	-3.351795852
CCDC135	2.124957867
LY6G6D	2.564356699
CCR3	2.014750955
CD5L	2.40830257
C6orf146	-2.662528532
C3orf27	-2.210128533
LOC339240	2.370159801
RBM46	2.223009372
SLC6A19	-2.582659198
OR1E1	-2.031409707
PVALB	-2.485634256
CYP4Z2P	-3.000243598
MEPE	-2.106812634
C14orf166B	2.64817476
C1orf161	-2.288803668
SLC22A2	-2.808731921
C19orf33	-2.716648321
ZNRF4	-2.511286764
LYPD6B	-2.059613909
C6orf176	-2.046605083
CFC1B	-2.94310488
GOLGA8G	-2.43733056
TRIM29	2.105634694
C14orf70	-2.500499092
SAA4	2.798450242
FAM187B	-2.537970003
APOA2	-3.067763394
PPYR1	-2.341400316
TMEM196	-2.13973457
BMP3	-2.475860822
FAM75A3	-2.535765131
LYZL4	-2.826183393
CD1E	2.307387273
NXF3	2.260282539
CHRND	2.758166239
IGJ	2.426303922
LOC145474	3.097506509
XKR3	3.09152656
HIST1H2AJ	3.09078093
CTSE	-2.829809307
TRH	2.148674254
FMO1	2.11984206
SLC2A2	3.07992393
AVPR1B	-2.336116376
FLJ43390	-2.003996794
ELSPBP1	3.073388655
TH	-2.460484526
PSORS1C2	2.168869832
VNN3	2.130426959
SPAG17	2.356373991
GOLGA8C	-2.350048118
PNOC	-2.116229094
PRB1	-3.1045986
C6orf58	3.046318436
STAP1	2.295988571
PGA4	2.703853968
C15orf54	2.213652287
ITLN2	3.032202917
P2RY10	2.015834225
AQP12B	-2.64884631
NCRNA00099	-2.303602702
RAX2	-2.755713017
FOXB1	3.012060065
ZNF804B	-2.212712925
CHST4	2.161055226
KRT83	-2.469987744
HIST1H4D	2.403013859
C16orf90	-2.611373583
IFNA13	-2.457681061
LOC400804	2.007967358
CD1C	2.064925879
FAM83A	2.449980322
FAM81B	2.692162735
GPR144	2.608574202
GREB1L	-2.158341344
DISC2	2.975051888
ITIH1	2.302506612
C15orf2	-2.386749155
KIF25	-2.012051203
LPA	-2.916238728
IGF2AS	2.321509532
C1orf189	2.7736465
WBSCR26	2.550624129
EBF3	2.100784041
SPINK6	2.96045014
AIPL1	-2.137689737
IGFL3	2.467420133
KCNK16	-2.916391523
TTC24	2.071511081
ELF5	2.081967471
C15orf26	2.21459039
SRD5A2	2.090142502
THEG	-2.212049716
KNCN	-2.468527339
